employee_id,position_id,created_by,updated_by,deleted_at,deleted_by,created_at,updated_at
1,7,NULL,NULL,NULL,NULL,"2026-01-14 18:42:25","2026-01-14 18:42:25"
2,7,NULL,NULL,NULL,NULL,"2026-01-14 18:49:42","2026-01-14 18:49:42"
3,7,NULL,NULL,NULL,NULL,"2026-01-14 18:49:42","2026-01-14 18:49:42"
4,6,NULL,NULL,NULL,NULL,"2026-01-14 18:50:06","2026-01-14 18:50:06"
5,10,NULL,NULL,NULL,NULL,"2026-01-14 18:55:07","2026-01-14 18:55:07"
6,10,NULL,NULL,NULL,NULL,"2026-01-14 18:55:07","2026-01-14 18:55:07"
7,10,NULL,NULL,NULL,NULL,"2026-01-14 18:55:07","2026-01-14 18:55:07"
8,9,NULL,NULL,NULL,NULL,"2026-01-14 18:55:55","2026-01-14 18:55:55"
9,5,NULL,NULL,NULL,NULL,"2026-01-14 18:56:37","2026-01-14 18:56:37"
10,8,NULL,NULL,NULL,NULL,"2026-01-14 18:57:17","2026-01-14 18:57:17"
11,4,NULL,NULL,NULL,NULL,"2026-01-14 18:57:40","2026-01-14 18:57:40"
12,3,NULL,NULL,NULL,NULL,"2026-01-14 18:58:09","2026-01-14 18:58:09"
13,3,NULL,NULL,NULL,NULL,"2026-01-14 18:58:58","2026-01-14 18:58:58"
14,3,NULL,NULL,NULL,NULL,"2026-01-14 18:59:24","2026-01-14 18:59:24"
15,2,NULL,NULL,NULL,NULL,"2026-01-14 18:59:49","2026-01-14 18:59:49"
16,1,NULL,NULL,NULL,NULL,"2026-01-14 19:00:02","2026-01-14 19:00:02"
